timestamp_metric,log_id,confidence,model_name,cpu,detection_boxes,model_processing_time_metric,image_processing_time,absolute_time_from_start,utility,source_file,timestamp_log,log_level,message,Component,Action,input_rate,model,User Request Time,Finished Processing File,Processing File,image,model,conf,boxes,model_processing_time_log
2025-10-19 23:37:11.699012,1.0,0.6206973095734915,yolov5s,7.7,6.0,2.026823043823242,4.155160188674927,2.0300331115722656,-15.655087858015976,exported-data-metrics_NAIVE_baseline.csv,2025-10-19 23:37:11,INFO,"Processed image 1: model=yolov5s, conf=0.621, boxes=6, time=4.155s",,,,,,,,1.0,yolov5s,0.621,6.0,4.155
2025-10-19 23:37:11.835385,2.0,0.8854534029960632,yolov5s,53.8,2.0,0.108680248260498,4.069831371307373,2.1664247512817383,-14.963688104399296,exported-data-metrics_NAIVE_baseline.csv,2025-10-19 23:37:11,INFO,"Processed image 2: model=yolov5s, conf=0.885, boxes=2, time=4.070s",,,,,,,,2.0,yolov5s,0.885,2.0,4.07
2025-10-19 23:37:11.954932,3.0,0.6014896829922994,yolov5s,51.2,3.0,0.0932023525238037,3.880009651184082,2.28597092628479,-14.298544172894257,exported-data-metrics_NAIVE_baseline.csv,2025-10-19 23:37:11,INFO,"Processed image 3: model=yolov5s, conf=0.601, boxes=3, time=3.880s",,,,,,,,3.0,yolov5s,0.601,3.0,3.88
2025-10-19 23:37:12.098701,4.0,0.5640431791543961,yolov5s,48.2,10.0,0.0966513156890869,3.7609145641326895,2.4297404289245605,-13.74051583695004,exported-data-metrics_NAIVE_baseline.csv,2025-10-19 23:37:12,INFO,"Processed image 4: model=yolov5s, conf=0.564, boxes=10, time=3.761s",,,,,,,,4.0,yolov5s,0.564,10.0,3.761
2025-10-19 23:37:12.586337,5.0,0.5876516948143641,yolov5s,58.4,6.0,0.4528577327728271,3.9641613960266113,2.9173717498779297,-14.733140464526535,exported-data-metrics_NAIVE_baseline.csv,2025-10-19 23:37:12,INFO,"Processed image 5: model=yolov5s, conf=0.588, boxes=6, time=3.964s",,,,,,,,5.0,yolov5s,0.588,6.0,3.964
2025-10-19 23:37:12.928877,6.0,0.6217461377382278,yolov5s,68.2,2.0,0.315774917602539,4.01317310333252,3.259896993637085,-14.94410431307392,exported-data-metrics_NAIVE_baseline.csv,2025-10-19 23:37:12,INFO,"Processed image 6: model=yolov5s, conf=0.622, boxes=2, time=4.013s",,,,,,,,6.0,yolov5s,0.622,2.0,4.013
2025-10-19 23:37:13.090471,7.0,0.5103908429543177,yolov5s,58.6,6.0,0.1403124332427978,3.891977071762085,3.4215123653411865,-14.449480055985209,exported-data-metrics_NAIVE_baseline.csv,2025-10-19 23:37:13,INFO,"Processed image 7: model=yolov5s, conf=0.510, boxes=6, time=3.892s",,,,,,,,7.0,yolov5s,0.51,6.0,3.892
2025-10-19 23:37:13.497139,8.0,0.7975265979766846,yolov5s,58.9,1.0,0.3579492568969726,4.032276153564453,3.828171491622925,-14.863839008479976,exported-data-metrics_NAIVE_baseline.csv,,,,,,,,,,,,,,,
2025-10-19 23:37:14.142856,9.0,0.8802368442217509,yolov5s,62.0,3.0,0.5937004089355469,4.397574186325073,4.47389554977417,-16.607617099549675,exported-data-metrics_NAIVE_baseline.csv,,,,,,,,,,,,,,,
2025-10-19 23:37:14.726045,10.0,0.7407139127071087,yolov5s,60.7,13.0,0.5441720485687256,4.704343318939209,5.057077646255493,-18.280984160290867,exported-data-metrics_NAIVE_baseline.csv,,,,,,,,,,,,,,,
2025-10-19 23:37:14.838221,11.0,0.8374231060345968,yolov5s,63.1,6.0,0.0969130992889404,4.528421878814697,5.169261932373047,-17.304668645947142,exported-data-metrics_NAIVE_baseline.csv,,,,,,,,,,,,,,,
2025-10-19 23:37:14.966810,12.0,0.8663100004196167,yolov5s,50.5,1.0,0.0911257266998291,4.373435974121094,5.297848701477051,-16.50085300302285,exported-data-metrics_NAIVE_baseline.csv,2025-10-19 23:37:14,INFO,"Processed image 12: model=yolov5s, conf=0.866, boxes=1, time=4.373s",,,,,,,,12.0,yolov5s,0.866,1.0,4.373
2025-10-19 23:37:15.127793,13.0,0.8520374894142151,yolov5s,58.4,3.0,0.1358544826507568,4.251622200012207,5.458806276321411,-15.906057252552078,exported-data-metrics_NAIVE_baseline.csv,2025-10-19 23:37:15,INFO,"Processed image 13: model=yolov5s, conf=0.852, boxes=3, time=4.252s",,,,,,,,13.0,yolov5s,0.852,3.0,4.252
2025-10-19 23:37:15.352270,14.0,0.7403740882873535,yolov5s,56.0,1.0,0.1905407905578613,4.201989650726318,5.68330717086792,-15.769558155411996,exported-data-metrics_NAIVE_baseline.csv,2025-10-19 23:37:15,INFO,"Processed image 14: model=yolov5s, conf=0.740, boxes=1, time=4.202s",,,,,,,,14.0,yolov5s,0.74,1.0,4.202
2025-10-19 23:37:15.492865,15.0,0.7029590904712677,yolov5s,49.3,3.0,0.1012065410614013,4.065593004226685,5.823905944824219,-15.124990602712463,exported-data-metrics_NAIVE_baseline.csv,2025-10-19 23:37:15,INFO,"Processed image 15: model=yolov5s, conf=0.703, boxes=3, time=4.066s",,,,,,,,15.0,yolov5s,0.703,3.0,4.066
2025-10-19 23:37:15.619720,16.0,0.6652644276618958,yolov5s,49.5,2.0,0.0875601768493652,3.95635986328125,5.950762987136841,-14.61652010695982,exported-data-metrics_NAIVE_baseline.csv,2025-10-19 23:37:15,INFO,"Processed image 16: model=yolov5s, conf=0.665, boxes=2, time=3.956s",,,,,,,,16.0,yolov5s,0.665,2.0,3.956
2025-10-19 23:37:16.298611,17.0,0.8818952043851217,yolov5s,58.3,3.0,0.6321978569030762,4.372309684753418,6.629650831222534,-16.47963635785041,exported-data-metrics_NAIVE_baseline.csv,2025-10-19 23:37:16,INFO,"Processed image 17: model=yolov5s, conf=0.882, boxes=3, time=4.372s",,,,,,,,17.0,yolov5s,0.882,3.0,4.372
2025-10-19 23:37:16.416369,18.0,0.7051677107810974,yolov5s,57.5,4.0,0.0970664024353027,4.21036696434021,6.747406959533691,-15.846651059101184,exported-data-metrics_NAIVE_baseline.csv,2025-10-19 23:37:16,INFO,"Processed image 18: model=yolov5s, conf=0.705, boxes=4, time=4.210s",,,,,,,,18.0,yolov5s,0.705,4.0,4.21
2025-10-19 23:37:16.997797,19.0,0.8335826992988586,yolov5s,58.6,1.0,0.5374128818511963,4.512268543243408,7.328822612762451,-17.227742455593027,exported-data-metrics_NAIVE_baseline.csv,2025-10-19 23:37:16,INFO,"Processed image 19: model=yolov5s, conf=0.834, boxes=1, time=4.512s",,,,,,,,19.0,yolov5s,0.834,1.0,4.512
2025-10-19 23:37:17.168014,20.0,0.9240528345108032,yolov5s,62.4,2.0,0.1482584476470947,4.396239519119263,7.499031066894531,-16.557127779904896,exported-data-metrics_NAIVE_baseline.csv,2025-10-19 23:37:17,INFO,"Processed image 20: model=yolov5s, conf=0.924, boxes=2, time=4.396s",,,,,,,,20.0,yolov5s,0.924,2.0,4.396
