timestamp_metric,log_id,confidence,model_name,cpu,detection_boxes,model_processing_time_metric,image_processing_time,absolute_time_from_start,utility,source_file,timestamp_log,log_level,message,Finished Processing File,Processing File,User Request Time,model,image,model,conf,boxes,model_processing_time_log
2025-10-19 22:44:47.745067,1.0,0.7182709674040476,yolov5l,10.3,6.0,2.806726455688477,9.550013542175291,2.8086726665496826,-42.53175399344746,exported-data-metrics_ADAMLS_baseline.csv,2025-10-19 22:44:47,INFO,"Processed image 1: model=yolov5l, conf=0.718, boxes=6, time=9.550s",,,,,1.0,yolov5l,0.718,6.0,9.55
2025-10-19 22:44:49.955396,2.0,0.9022809565067292,yolov5m,32.9,2.0,2.184311628341675,11.538933753967283,5.018935680389404,-52.29233511871362,exported-data-metrics_ADAMLS_baseline.csv,2025-10-19 22:44:49,INFO,"Processed image 2: model=yolov5m, conf=0.902, boxes=2, time=11.539s",,,,,2.0,yolov5m,0.902,2.0,11.539
2025-10-19 22:44:50.292010,3.0,0.4821515679359436,yolov5m,62.9,2.0,0.3100981712341308,8.215564489364624,5.355580568313599,-36.25627033270938,exported-data-metrics_ADAMLS_baseline.csv,2025-10-19 22:44:50,INFO,"Processed image 3: model=yolov5m, conf=0.482, boxes=2, time=8.216s",,,,,3.0,yolov5m,0.482,2.0,8.216
2025-10-19 22:44:50.944308,4.0,0.6578196853399276,yolov5m,61.5,10.0,0.5920231342315674,8.605527400970459,6.007885932922363,-37.86977929191339,exported-data-metrics_ADAMLS_baseline.csv,2025-10-19 22:44:50,INFO,"Processed image 4: model=yolov5m, conf=0.658, boxes=10, time=8.606s",,,,,4.0,yolov5m,0.658,10.0,8.606
2025-10-19 22:44:51.383188,5.0,0.5970433533191681,yolov5m,62.7,5.0,0.3916025161743164,8.763038635253906,6.446798801422119,-38.71811100779601,exported-data-metrics_ADAMLS_baseline.csv,2025-10-19 22:44:51,INFO,"Processed image 5: model=yolov5m, conf=0.597, boxes=5, time=8.763s",,,,,5.0,yolov5m,0.597,5.0,8.763
2025-10-19 22:44:51.786940,6.0,0.8814250826835632,yolov5m,61.8,1.0,0.3667607307434082,8.879764556884766,6.850558757781982,-39.01735830295688,exported-data-metrics_ADAMLS_baseline.csv,,,,,,,,,,,,
2025-10-19 22:44:52.043660,7.0,0.4453047854559762,yolov5m,59.1,7.0,0.233966588973999,8.854954242706299,7.107273578643799,-39.82168299033769,exported-data-metrics_ADAMLS_baseline.csv,2025-10-19 22:44:52,INFO,"Processed image 7: model=yolov5m, conf=0.445, boxes=7, time=8.855s",,,,,7.0,yolov5m,0.445,7.0,8.855
2025-10-19 22:44:52.409929,8.0,0.736350804567337,yolov5m,55.7,2.0,0.3202781677246094,8.95867657661438,7.473543643951416,-39.55699228516148,exported-data-metrics_ADAMLS_baseline.csv,2025-10-19 22:44:52,INFO,"Processed image 8: model=yolov5m, conf=0.736, boxes=2, time=8.959s",,,,,8.0,yolov5m,0.736,2.0,8.959
2025-10-19 22:44:53.124571,9.0,0.898948093255361,yolov5m,59.7,3.0,0.6616911888122559,9.388430118560793,8.188186168670654,-41.54316055743994,exported-data-metrics_ADAMLS_baseline.csv,2025-10-19 22:44:53,INFO,"Processed image 9: model=yolov5m, conf=0.899, boxes=3, time=9.388s",,,,,9.0,yolov5m,0.899,3.0,9.388
2025-10-19 22:44:53.376625,10.0,0.7326578458150228,yolov5m,54.4,15.0,0.2155666351318359,9.363479137420654,8.440241813659668,-41.58469602393439,exported-data-metrics_ADAMLS_baseline.csv,2025-10-19 22:44:53,INFO,"Processed image 10: model=yolov5m, conf=0.733, boxes=15, time=9.363s",,,,,10.0,yolov5m,0.733,15.0,9.363
