timestamp_metric,log_id,confidence,model_name,cpu,detection_boxes,model_processing_time_metric,image_processing_time,absolute_time_from_start,utility,source_file,timestamp_log,log_level,input_rate,model,Component,Action,message,Finished Processing File,Processing File,User Request Time,image,model,conf,boxes,model_processing_time_log
2025-10-20 06:44:44.214531,1.0,0.6972104981541634,yolov5n,0.7,4.0,2.2525382041931152,5.962199926376343,2.257643222808838,-24.613764322752733,exported-data-metrics_POLARIS_baseline.csv,2025-10-20 06:44:44,INFO,,,,,"Processed image 1: model=yolov5n, conf=0.697, boxes=4, time=5.962s",,,,1.0,yolov5n,0.697,4.0,5.962
2025-10-20 06:44:44.698328,2.0,0.780472606420517,yolov5n,53.6,2.0,0.4487276077270508,6.227685451507568,2.741480588912964,-25.857928512716207,exported-data-metrics_POLARIS_baseline.csv,2025-10-20 06:44:44,INFO,,,,,"Processed image 2: model=yolov5n, conf=0.780, boxes=2, time=6.228s",,,,2.0,yolov5n,0.78,2.0,6.228
2025-10-20 06:44:44.773566,3.0,0.6479090452194214,yolov5n,52.1,1.0,0.0512378215789794,5.997478246688843,2.8167169094085693,-24.83945720085855,exported-data-metrics_POLARIS_baseline.csv,2025-10-20 06:44:44,INFO,,,,,"Processed image 3: model=yolov5n, conf=0.648, boxes=1, time=5.997s",,,,3.0,yolov5n,0.648,1.0,5.997
2025-10-20 06:44:45.370249,4.0,0.5035721138119698,yolov5n,56.4,4.0,0.5483524799346924,6.330653190612793,3.4133872985839844,-26.6496671860127,exported-data-metrics_POLARIS_baseline.csv,,,,,,,,,,,,,,,
2025-10-20 06:44:45.835208,5.0,0.6527060270309448,yolov5n,50.5,4.0,0.4194133281707763,6.513327598571777,3.8783442974090576,-27.413904399217515,exported-data-metrics_POLARIS_baseline.csv,2025-10-20 06:44:45,INFO,,,,,"Processed image 5: model=yolov5n, conf=0.653, boxes=4, time=6.513s",,,,5.0,yolov5n,0.653,4.0,6.513
2025-10-20 06:44:45.956772,6.0,0.8550455570220947,yolov5n,40.2,1.0,0.0824372768402099,6.348231077194214,3.9999167919158936,-26.38608308782033,exported-data-metrics_POLARIS_baseline.csv,2025-10-20 06:44:45,INFO,,,,,"Processed image 6: model=yolov5n, conf=0.855, boxes=1, time=6.348s",,,,6.0,yolov5n,0.855,1.0,6.348
2025-10-20 06:44:46.035376,7.0,0.4196061193943023,yolov5n,46.2,1.0,0.054473876953125,6.144278526306152,4.078531503677368,-26.52530410834644,exported-data-metrics_POLARIS_baseline.csv,2025-10-20 06:44:46,INFO,,,,,"Processed image 7: model=yolov5n, conf=0.420, boxes=1, time=6.144s",,,,7.0,yolov5n,0.42,1.0,6.144
2025-10-20 06:44:46.684602,8.0,0.9240026473999025,yolov5n,54.3,1.0,0.6028234958648682,6.53231143951416,4.727731227874756,-27.23752688864137,exported-data-metrics_POLARIS_baseline.csv,2025-10-20 06:44:46,INFO,,,,,"Processed image 8: model=yolov5n, conf=0.924, boxes=1, time=6.532s",,,,8.0,yolov5n,0.924,1.0,6.532
2025-10-20 06:44:47.090612,9.0,0.8537710905075073,yolov5n,47.7,3.0,0.3304331302642822,6.652889490127564,5.133756399154663,-27.910648095711128,exported-data-metrics_POLARIS_baseline.csv,2025-10-20 06:44:47,INFO,,,,,"Processed image 9: model=yolov5n, conf=0.854, boxes=3, time=6.653s",,,,9.0,yolov5n,0.854,3.0,6.653
2025-10-20 06:44:47.551289,10.0,0.6669928404417905,yolov5n,54.9,11.0,0.4167006015777588,6.836930274963379,5.594416618347168,-29.01762934975292,exported-data-metrics_POLARIS_baseline.csv,2025-10-20 06:44:47,INFO,,,,,"Processed image 10: model=yolov5n, conf=0.667, boxes=11, time=6.837s",,,,10.0,yolov5n,0.667,11.0,6.837
